TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
4;17395;1;0;0.4914242161684475
4;33715;0;0;0.477884400357812
4;19599;1;0;0.46128596692603724
4;36739;0;0;0.47666201146546305
4;43640;1;0;0.4778356779252608
4;22157;0;0;0.48072926891171597
4;35018;0;0;0.48017064066782733
4;44331;0;1;0.5223010883437336
4;44733;1;0;0.5461743535522844
4;42302;0;0;0.5185321847948824
4;49394;1;0;0.5016013816089397
4;19599;0;0;0.46128596692603724
4;15814;0;0;0.5494038148360945
4;35406;1;0;0.5400744499705326
4;10462;0;0;0.4717101247924459
4;22423;0;0;0.525452063256158
4;22157;1;0;0.48072926891171597
4;9997;1;1;0.5443671450229659
4;5730;1;0;0.5249162685975046
4;40576;0;0;0.5454547479300488
4;49561;1;0;0.4841279370644066
4;33715;1;0;0.477884400357812
4;40304;0;0;0.5209421086716138
4;28702;0;0;0.5394117125582153
4;29426;0;0;0.5180908925797665
4;42302;1;0;0.5185321847948824
4;4130;0;0;0.5240018721997602
4;13372;1;0;0.5451284763252094
4;15147;0;0;0.4879492708154046
4;40933;0;0;0.43739184582213186
4;41805;0;0;0.5206734299403516
4;44331;1;0;0.4836777458366152
